,id,名称,胜,平,负,胜球,输球,净胜球,积分
2,38,江苏苏宁,25,8,5,85,40,45,83
9,25,勒沃库森,23,8,7,82,49,33,77
6,34,博卡,23,6,9,79,46,33,75
19,28,罗马,23,5,10,107,61,46,74
4,35,河床,20,8,10,66,43,23,68
7,32,波尔图,20,6,12,57,37,20,66
15,33,本菲卡,19,7,12,120,104,16,64
12,23,莱比锡,17,13,8,54,40,14,64
5,21,里昂,19,6,13,101,82,19,63
3,22,里斯本竞技,17,5,16,71,75,-4,56
14,39,埃因霍温,14,6,18,86,93,-7,48
17,24,浙江绿城,12,12,14,53,60,-7,48
0,37,北京国安,12,8,18,73,88,-15,44
10,31,马赛,11,10,17,64,82,-18,43
8,30,广州恒大,10,9,19,45,69,-24,39
11,29,摩纳哥,10,7,21,56,80,-24,37
16,36,川崎前锋,8,11,19,46,77,-31,35
13,26,西汉姆联,8,9,21,35,72,-37,33
18,40,桑托斯,8,4,26,37,78,-41,28
1,27,狼队,2,10,26,26,67,-41,16
