id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
1,海因切,巴塞罗那,0,0,66.7,0.0,0.0,0.0,55.4,15,10,0,0,0,0,0,0,175,97
2,丘尔内利,巴塞罗那,0,6,54.3,46.0,53.7,0.0,0.0,70,38,87,40,270,145,0,0,0,0
3,博布任斯基,巴塞罗那,0,0,29.7,0.0,57.7,52.7,0.0,101,30,0,0,189,109,317,167,0,0
4,里亚比切夫,巴塞罗那,0,2,43.4,43.4,0.0,0.0,0.0,76,33,205,89,0,0,0,0,0,0
5,曼乔皮,巴塞罗那,0,9,57.8,36.5,0.0,0.0,0.0,308,178,148,54,0,0,0,0,0,0
6,菲亚马雷利,巴塞罗那,0,0,40.4,0.0,48.6,47.7,0.0,94,38,0,0,222,108,283,135,0,0
7,埃尔努夫,巴塞罗那,0,7,52.5,45.1,49.4,0.0,0.0,61,32,82,37,271,134,0,0,0,0
8,隆格韦涅,巴塞罗那,1,9,69.0,40.0,0.0,0.0,0.0,535,369,75,30,0,0,0,0,0,0
9,奈达诺夫,巴塞罗那,3,10,59.6,46.8,0.0,0.0,0.0,270,161,158,74,0,0,0,0,0,0
10,加兰西诺,巴塞罗那,38,0,0.0,37.7,0.0,54.4,0.0,0,0,151,57,0,0,355,193,0,0
11,加索尔,巴塞罗那,4,2,81.7,42.9,40.0,35.4,0.0,756,618,7,3,15,6,48,17,0,0
23,埃斯林达,曼彻斯特联,0,9,77.1,0.0,45.6,42.3,0.0,424,327,0,0,57,26,78,33,0,0
24,埃伦博根,曼彻斯特联,0,7,73.1,0.0,0.0,0.0,54.8,26,19,0,0,0,0,0,0,126,69
25,陈天昭,曼彻斯特联,20,8,76.7,71.9,0.0,44.5,0.0,459,352,57,41,0,0,119,53,0,0
26,加洛贝,曼彻斯特联,0,4,30.7,0.0,59.6,45.5,0.0,75,23,0,0,171,102,202,92,0,0
27,穆尔热,曼彻斯特联,0,2,32.7,0.0,58.6,54.5,0.0,98,32,0,0,181,106,224,122,0,0
28,希克特,曼彻斯特联,34,0,0.0,35.1,0.0,51.0,0.0,0,0,114,40,0,0,361,184,0,0
29,奥恩哈根,曼彻斯特联,36,0,0.0,48.5,0.0,53.9,0.0,0,0,132,64,0,0,395,213,0,0
30,乔诺维奇,曼彻斯特联,1,19,47.7,45.6,43.9,0.0,0.0,174,83,272,124,271,119,0,0,0,0
31,罗泽拉尔,曼彻斯特联,1,8,66.8,0.0,52.3,41.6,0.0,458,306,0,0,44,23,77,32,0,0
32,瓦尔斯泰特,曼彻斯特联,0,7,74.3,0.0,49.1,41.5,0.0,459,341,0,0,55,27,65,27,0,0
33,葛罗夫,曼彻斯特联,0,27,46.7,42.3,40.8,0.0,0.0,167,78,241,102,250,102,0,0,0,0
45,兰基内,AC米兰,0,0,28.3,0.0,61.9,47.3,0.0,92,26,0,0,236,146,245,116,0,0
46,费伍德,AC米兰,5,15,68.8,52.5,0.0,0.0,0.0,93,64,297,156,0,0,0,0,0,0
47,梅察,AC米兰,1,5,52.1,57.5,45.3,0.0,0.0,94,49,106,61,232,105,0,0,0,0
48,布斯蒂洛,AC米兰,0,1,41.7,0.0,46.6,38.0,0.0,84,35,0,0,174,81,229,87,0,0
49,韦尼克桑,AC米兰,11,0,55.2,33.7,0.0,39.1,0.0,172,95,83,28,0,0,92,36,0,0
