id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
12,内托利奇卡,皇家马德里,1,8,73.9,0.0,39.3,43.1,0.0,777,574,0,0,61,24,109,47,0,0
13,布尔贡,皇家马德里,0,3,63.6,0.0,0.0,0.0,47.7,22,14,0,0,0,0,0,0,176,84
14,严宏生,皇家马德里,6,22,69.2,51.5,0.0,0.0,0.0,1007,697,229,118,0,0,0,0,0,0
15,艾沙姆,皇家马德里,0,0,40.6,0.0,49.5,53.1,0.0,96,39,0,0,198,98,343,182,0,0
16,迪日马鲁,皇家马德里,6,21,82.9,60.9,58.8,51.5,0.0,1149,952,23,14,17,10,68,35,0,0
17,欧瓦德,皇家马德里,0,14,72.7,0.0,44.4,50.0,0.0,858,624,0,0,45,20,118,59,0,0
18,卢格尔,皇家马德里,6,28,75.7,63.6,0.0,0.0,0.0,1026,777,264,168,0,0,0,0,0,0
19,阿尼马克,皇家马德里,0,2,49.0,0.0,56.4,31.7,0.0,49,24,0,0,165,93,284,90,0,0
20,艾克尔斯,皇家马德里,42,0,0.0,40.6,0.0,52.7,0.0,0,0,202,82,0,0,617,325,0,0
21,弗劳维奇,皇家马德里,0,2,35.7,0.0,61.4,48.1,0.0,70,25,0,0,189,116,318,153,0,0
22,玛尔戈,皇家马德里,48,0,0.0,46.8,0.0,53.3,0.0,0,0,220,103,0,0,629,335,0,0
34,万德尔特,曼彻斯特城,0,23,37.8,52.3,50.5,0.0,0.0,222,84,277,145,190,96,0,0,0,0
35,帕拉丹塔,曼彻斯特城,1,5,68.5,0.0,53.1,45.2,0.0,362,248,0,0,64,34,115,52,0,0
36,科纳谢夫斯基,曼彻斯特城,17,8,77.8,60.0,0.0,58.6,0.0,414,322,30,18,0,0,191,112,0,0
37,崔洪营,曼彻斯特城,5,43,60.8,63.5,55.9,0.0,0.0,212,129,285,181,213,119,0,0,0,0
38,芬特明,曼彻斯特城,33,0,0.0,34.5,0.0,48.8,0.0,0,0,58,20,0,0,467,228,0,0
39,沙赫马托夫,曼彻斯特城,1,4,66.7,0.0,61.5,51.8,0.0,396,264,0,0,65,40,114,59,0,0
40,津戈尼,曼彻斯特城,0,0,39.3,0.0,57.8,45.9,0.0,84,33,0,0,180,104,318,146,0,0
41,金伯顿,曼彻斯特城,0,2,42.6,0.0,52.6,57.2,0.0,94,40,0,0,196,103,362,207,0,0
42,卡萨兰,曼彻斯特城,0,1,15.4,0.0,0.0,0.0,40.8,13,2,0,0,0,0,0,0,169,69
43,黄淘,曼彻斯特城,41,0,0.0,39.3,0.0,61.1,0.0,0,0,61,24,0,0,558,341,0,0
44,米里亚契奇,曼彻斯特城,2,9,73.6,0.0,54.1,48.0,0.0,432,318,0,0,61,33,123,59,0,0
56,当麻好子,国际米兰,11,10,83.7,50.0,0.0,55.9,0.0,1217,1019,54,27,0,0,220,123,0,0
57,萨德科维奇,国际米兰,3,9,76.8,0.0,63.5,44.3,0.0,1179,906,0,0,52,33,122,54,0,0
58,阿森松,国际米兰,1,9,64.4,47.5,49.0,0.0,0.0,101,65,200,95,208,102,0,0,0,0
