,id,名称,胜,平,负,胜球,输球,净胜球,积分
0,11,马德里竞技,20,6,12,81,61,20,66
1,14,尤文图斯,9,7,22,47,71,-24,34
2,5,AC米兰,12,12,14,44,49,-5,48
3,15,多特蒙德,11,11,16,39,44,-5,44
4,18,上海上港,5,9,24,25,67,-42,24
5,17,上海申花,5,11,22,40,78,-38,26
6,2,皇家马德里,7,11,20,33,50,-17,32
7,12,阿森纳,13,6,19,64,70,-6,45
8,10,利物浦,18,9,11,62,51,11,63
9,4,曼彻斯特城,27,5,6,110,70,40,86
10,6,国际米兰,20,4,14,85,75,10,64
11,1,巴塞罗那,24,9,5,63,32,31,81
12,16,拜仁慕尼黑,20,7,11,63,43,20,67
13,7,巴黎圣日尔曼,12,8,18,57,72,-15,44
14,19,莱斯特城,15,8,15,88,79,9,53
15,3,曼彻斯特联,20,4,14,69,55,14,64
16,8,阿贾克斯,20,7,11,78,59,19,67
17,13,托特纳姆热刺,15,6,17,76,90,-14,51
18,9,切尔西,18,11,9,72,56,16,65
19,20,塞维利亚,11,5,22,42,66,-24,38
